UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
4,11.6,15,57.25,1360.9,72.69,14,6,52.21253205,5573,92,932546,0.005976113
6,12.4,36,72.7,44,72.69,29,30.6,120.3205366,13,0,30032,0.000432872
3,13.9,14,65.35,107.1279669,67.59,12,14.7,61.68704166,15531,589,8877067,0.001749564
7,9.4,8,77.5,1239.579312,89.81,118,25.3,219.7850562,8238,170,163046161,5.05E-05
6,24.4,12,55.5,1300,56.94,73,27.1,145.2291673,593,9,21516000,2.76E-05
5,11,12,75,377.3795905,81.48,19,10.9,60.10241675,49032,7703,11484055,0.004269572
6,20.2,9,80,25.06171624,77.31,93,21,69.01624257,92202,6412,211049527,0.000436874
3,11.6,12.5,73.15,5492.6,72.69,7,15,39.44050097,2145,112,631486,0.00339675
8,32.3,17.2,21.1,247.3,72.69,32,34.4,2.172322831,4225,206,2266715,0.001863931
7,13.8,13.4,67,2026.4,72.69,21,22.8,122.2112697,1749,96,760141,0.002300889
5,9.1,17,78,97.91306306,72.22,30,26,348.24745,725,6,5047561,0.000143634
3,19.8,27,71.5,137.6577053,57.41,32,12.9,60.78888355,7737,240,10669709,0.000725137
4,11.3,19,75,137.9765658,68.52,32,9,24.04764214,9311,460,5818553,0.001600226
5,21.9,16,65,18.14854727,60.19,19,6.3,44.67737149,5051,218,5520314,0.000914984
5,21.9,16,70,122.2994372,87.96,36,12.6,50.00562747,165764,24563,67059887,0.00247188
4,18.7,5.1,63.8,83.26518231,84.26,46,17.9,39.65689862,2612,140,10716322,0.00024374
6,11.8,17,81.5,7096.190476,66.67,50,30,361.5997425,1039,4,7507400,0.000138397
3,15,14,60,107.9814868,76.85,17,13.9,54.65272993,2863,323,9769949,0.000293041
7,31.6,12,40,454.9380726,96.3,45,31.8,12.85931525,37257,1223,1366417754,2.73E-05
7,19.8,9,81.5,147.7521901,80.09,125,26.9,249.5035575,10551,800,270625568,3.90E-05
6,24.2,16,65,410.4805915,84.26,85,19.8,8.298057891,16101,225,9053300,0.001778468
5,13.1,9,74,205.4183722,93.52,38,19.3,74.02816107,207428,28236,60297396,0.003440082
5,14.9,20,65,347.0734584,47.22,65,19.7,94.17393274,14558,510,126264931,0.000115297
7,27.6,12.6,54,6.769825721,89.35,21,14.8,27.43697066,3597,25,18513930,0.000194286
5,12.1,12.2,65.8,550.4,72.69,63,19.4,90.170303,1904,173,545724,0.003488943
6,15.8,10.9,69.2,413.1,72.69,21,25,82.49330629,233,3,293582,0.000793645
6,36.1,13.5,74.5,8092.3,72.69,63,26.1,5.076815176,24894,1174,3979537,0.006255502
6,16.8,9,80,95.96282149,73.15,44,26.9,240.3542322,6071,103,31949777,0.000190017
9,34.6,11.3,20.6,414.9,72.69,29,30.9,3.512284205,4421,147,4485414,0.000985639
6,19.9,5.7,91,64.91462641,82.41,55,18.7,68.15532561,20739,1972,127575529,0.000162563
4,18,11.1,66.5,1704.9,72.69,11,17.8,84.57577935,734,44,812855,0.00090299
